company,trade_symbol,analysis_symbol,baseline_rating,baseline_date,latest_price_date,close,pct_1d,pct_5d,pct_20d,rsi_14,volume_ratio_20d,vs_sma_50,vs_sma_200,triggers,priority,log_path,error
ASX Limited,GETTEX:AUX,AUX.MU,BUY,2026-05-19,2026-05-19,36.20000076293945,1.1173227217972093,2.840909029334049,1.1173227217972093,53.06123640576082,,7.380163241160864,13.140391457534072,,0,results/AUX.MU/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,
Synopsys,GETTEX:SYP,SNPS,HOLD,2026-05-19,2026-05-19,493.57000732421875,-0.9750587691306545,-3.8268961648383226,5.558411715283351,60.35207041408282,0.15331575040563356,9.787912286709922,4.3110725202679,,4,results/SNPS/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,
Cadence Design Systems,GETTEX:CDS,CDNS,BUY,2026-05-19,2026-05-19,343.79998779296875,-0.6329669941962046,-3.9772149514309074,5.511905124272687,62.50673789081144,0.0985901034565723,10.489846908249788,6.554822616546496,,0,results/CDNS/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,
Bentley Systems,GETTEX:BS81,BSY,BUY,2026-05-19,2026-05-19,33.58000183105469,0.8105687380132176,2.785441423667989,-4.057137625558038,54.09293095015953,0.10848814403525658,-2.958068131097935,-20.66640362985056,,0,results/BSY/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,
Monolithic Power Systems,GETTEX:NQG,MPWR,HOLD,2026-05-19,2026-05-19,1431.0250244140625,-3.7209054029581967,-10.534097295422795,-6.3434621456988864,43.16578871755579,0.21352008390956412,6.474568027446392,34.468740475896496,1D MOVE -3.7%; 5D MOVE -10.5%,42,results/MPWR/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,
Seagate Technology,GETTEX:847,STX,BUY,2026-05-19,2026-05-19,700.375,-5.462046513229657,-13.405661403239622,25.08929620657636,57.482206179321004,0.2713079139642209,26.479232545446195,104.3137996145116,1D MOVE -5.5%; 5D MOVE -13.4%,38,results/STX/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,
Western Digital,GETTEX:WDC,WDC,BUY,2026-05-19,2026-05-19,437.6099853515625,-4.59361813479231,-10.461596330247735,14.017349244467114,55.25436043697934,0.22226637277333877,19.45962341623,103.34560760217317,1D MOVE -4.6%; 5D MOVE -10.5%,38,results/WDC/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,
Lumentum Holdings,GETTEX:LU2,LITE,HOLD,2026-05-19,2026-05-19,853.8400268554688,-3.5187184230752067,-13.959507939915083,2.0217039013070037,49.66764730333369,0.31119463401213104,2.901824060700209,98.48005922231961,1D MOVE -3.5%; 5D MOVE -14.0%,42,results/LITE/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,
Samara Asset Group,GETTEX:SRAG,SRAG.MU,HOLD,2026-05-19,2026-05-19,2.3499999046325684,0.0,-2.892568985724042,4.44444020589192,56.249981373586266,,5.30560634794619,7.4138360133305214,,4,results/SRAG.MU/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,
Rheinmetall,XETR:RHM,RHM.DE,BUY,2026-05-19,2026-05-19,1216.5999755859375,3.805458667742112,5.7453259961701475,-16.7393519104469,39.789540055854545,0.8430855184809701,-14.395470388931653,-25.458185769589047,1D MOVE +3.8%,20,results/RHM.DE/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,
